id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
0,15,04,02,417,80.8, 18.8, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
1,15,04,03,689,80.8, 17.6, 134.0,0.0, 230.2, 0.0,359.1, 230.2, 0.0
2,15,04,04,213,80.8, 17.6, 134.0,0.0, 230.8, 0.0,359.8, 230.8, 0.0
3,15,04,04,715,80.8, 17.6, 134.0,0.0, 269.2, 0.0,357.4, 269.2, 0.0
4,15,04,05,236,80.8, 17.6, 134.0,0.0, 252.0, 0.0,358.2, 252.0, 0.0
5,15,04,05,782,80.8, 17.6, 134.0,0.0, 179.3, 0.0,6.0, 179.3, 0.0
6,15,04,06,282,80.8, 17.6, 134.0,0.0, 175.1, 0.0,4.6, 175.1, 0.0
7,15,04,06,795,80.8, 17.6, 134.0,0.0, 132.8, 0.0,5.8, 132.8, 0.0
8,15,04,07,312,80.8, 17.6, 134.0,0.0, 96.9, 0.0,9.2, 96.9, 0.0
9,15,04,07,829,80.8, 17.6, 134.0,0.0, 96.8, 0.0,9.1, 96.8, 0.0
10,15,04,08,343,80.8, 17.6, 134.0,0.0, 17.8, 0.0,359.8, 17.8, 0.0
11,15,04,08,847,80.8, 17.6, 134.0,0.0, 77.6, 0.0,339.1, 77.6, 0.0
12,15,04,09,361,80.8, 17.6, 134.0,0.0, 16.1, 0.0,347.3, 16.1, 0.0
13,15,04,09,877,80.8, 17.6, 134.0,0.0, 16.1, 0.0,347.3, 16.1, 0.0
14,15,04,10,378,80.8, 17.6, 134.2,0.0, 88.4, 0.0,1.6, 88.4, 0.0
15,15,04,10,881,82.2, 17.3, 135.9,0.0, 111.8, 0.0,8.3, 111.8, 0.0
16,15,04,11,393,83.5, 17.4, 138.0,0.0, 63.2, 0.0,0.8, 63.2, 0.0
17,15,04,11,894,81.4, 17.9, 138.8,0.0, 315.1, 0.0,354.7, 315.1, 0.0
18,15,04,12,523,78.7, 18.4, 139.8,0.0, 233.2, 0.0,1.7, 233.2, 0.0
19,15,04,13,56,76.2, 18.1, 139.3,0.0, 181.7, 0.0,1.7, 181.7, 0.0
20,15,04,13,580,75.0, 17.6, 137.7,0.0, 236.0, 0.0,355.3, 236.0, 0.0
21,15,04,14,79,72.8, 17.2, 136.7,0.0, 250.3, 0.0,353.9, 250.3, 0.0
22,15,04,14,578,70.3, 17.0, 136.9,0.0, 281.2, 0.0,351.2, 281.2, 0.0
23,15,04,15,95,67.9, 17.0, 137.7,0.0, 321.8, 0.0,349.0, 321.8, 0.0
24,15,04,15,597,66.0, 17.6, 139.3,0.0, 309.8, 0.0,349.3, 309.8, 0.0
25,15,04,16,111,63.8, 18.2, 140.4,0.0, 306.2, 0.0,349.7, 306.2, 0.0
26,15,04,16,627,61.3, 18.0, 140.4,0.0, 327.8, 0.0,345.1, 327.8, 0.0
27,15,04,17,130,58.8, 18.3, 140.5,0.0, 293.8, 0.0,344.5, 293.8, 0.0
28,15,04,17,636,56.8, 18.2, 139.1,0.0, 255.6, 0.0,344.5, 255.6, 0.0
29,15,04,18,140,54.7, 18.0, 137.9,0.0, 212.9, 0.0,354.6, 212.9, 0.0
30,15,04,18,649,52.7, 17.7, 136.6,0.0, 235.4, 0.0,350.8, 235.4, 0.0
31,15,04,19,164,50.2, 17.9, 136.6,0.0, 263.0, 0.0,348.9, 263.0, 0.0
32,15,04,19,679,47.7, 18.3, 136.8,0.0, 312.8, 0.0,349.1, 312.8, 0.0
33,15,04,20,207,45.3, 18.4, 135.8,0.0, 218.0, 0.0,350.9, 218.0, 0.0
34,15,04,20,725,44.5, 18.3, 134.0,0.0, 205.7, 0.0,352.4, 205.7, 0.0
35,15,04,21,229,43.9, 18.4, 134.1,0.0, 288.3, 0.0,351.7, 288.3, 0.0
36,15,04,21,744,41.7, 18.5, 135.3,0.0, 319.4, 0.0,350.9, 319.4, 0.0
37,15,04,22,252,39.2, 18.6, 135.1,0.0, 249.6, 0.0,350.9, 249.6, 0.0
38,15,04,22,784,36.8, 18.8, 135.3,0.0, 204.6, 0.0,351.8, 204.6, 0.0
39,15,04,23,308,34.3, 19.0, 136.0,0.0, 184.4, 0.0,354.9, 184.4, 0.0
40,15,04,23,820,34.1, 19.0, 136.0,0.0, 228.9, 0.0,350.8, 228.9, 0.0
41,15,04,24,329,32.4, 19.2, 136.6,0.0, 302.6, 0.0,346.0, 302.6, 0.0
42,15,04,24,831,30.0, 19.6, 136.7,0.0, 272.0, 0.0,347.5, 272.0, 0.0
43,15,04,25,345,27.6, 19.8, 137.6,0.0, 278.4, 0.0,348.7, 278.4, 0.0
44,15,04,25,846,26.3, 20.2, 139.6,0.0, 311.3, 0.0,342.2, 311.3, 0.0
45,15,04,26,347,24.4, 20.6, 141.2,0.0, 311.6, 0.0,341.9, 311.6, 0.0
46,15,04,26,862,22.4, 20.9, 142.6,0.0, 275.1, 0.0,342.3, 275.1, 0.0
47,15,04,27,363,20.7, 21.5, 144.4,0.0, 273.6, 0.0,342.9, 273.6, 0.0
48,15,04,27,895,18.9, 22.2, 146.3,0.0, 246.1, 0.0,347.0, 246.1, 0.0
49,15,04,28,416,16.4, 22.8, 146.3,0.0, 221.2, 0.0,351.2, 221.2, 0.0
50,15,04,28,930,14.5, 23.4, 147.8,0.0, 297.7, 0.0,342.5, 297.7, 0.0
51,15,04,29,446,12.5, 24.0, 149.3,0.0, 310.7, 0.0,341.8, 310.7, 0.0
52,15,04,29,962,10.7, 24.6, 150.9,0.0, 309.6, 0.0,338.8, 309.6, 0.0
53,15,04,30,462,8.8, 25.4, 152.3,0.0, 305.4, 0.0,338.5, 305.4, 0.0
54,15,04,30,962,6.7, 26.0, 153.6,0.0, 300.9, 0.0,338.5, 300.9, 0.0
55,15,04,31,480,4.5, 26.8, 154.7,0.0, 297.6, 0.0,338.6, 297.6, 0.0
56,15,04,31,996,2.6, 27.6, 156.2,0.0, 295.1, 0.0,338.6, 295.1, 0.0
57,15,04,32,498,0.7, 28.4, 157.6,0.0, 288.3, 0.0,338.6, 288.3, 0.0
58,15,04,32,999,-1.6, 29.2, 158.0,0.0, 233.1, 0.0,340.5, 233.1, 0.0
59,15,04,33,513,-3.8, 30.0, 158.8,0.0, 264.8, 0.0,341.0, 264.8, 0.0
60,15,04,34,15,-5.2, 30.7, 160.7,0.0, 281.5, 0.0,339.7, 281.5, 0.0
61,15,04,34,531,-7.5, 31.7, 161.3,0.0, 281.3, 0.0,339.7, 281.3, 0.0
62,15,04,35,32,-9.7, 32.6, 161.9,0.0, 299.5, 0.0,336.7, 299.5, 0.0
63,15,04,35,532,-11.7, 33.7, 162.9,0.0, 281.7, 0.0,330.5, 281.7, 0.0
64,15,04,36,48,-14.1, 34.9, 163.0,0.0, 276.5, 0.0,331.2, 276.5, 0.0
65,15,04,36,563,-16.3, 35.9, 163.4,0.0, 320.2, 0.0,329.8, 320.2, 0.0
66,15,04,37,64,-18.5, 37.0, 163.1,0.0, 264.7, 0.0,332.6, 264.7, 0.0
67,15,04,37,565,-20.8, 38.0, 163.3,0.0, 234.5, 0.0,340.4, 234.5, 0.0
68,15,04,38,161,-23.3, 38.9, 162.0,0.0, 197.7, 0.0,352.8, 197.7, 0.0
69,15,04,38,660,-25.3, 39.7, 160.9,0.0, 209.9, 0.0,351.4, 209.9, 0.0
70,15,04,39,165,-27.4, 40.5, 160.0,0.0, 185.7, 0.0,357.9, 185.7, 0.0
71,15,04,39,700,-29.3, 41.0, 158.0,0.0, 182.0, 0.0,358.5, 182.0, 0.0
72,15,04,40,218,-31.2, 41.7, 156.4,0.0, 190.4, 0.0,356.9, 190.4, 0.0
73,15,04,40,733,-33.4, 42.1, 155.2,0.0, 198.9, 0.0,356.0, 198.9, 0.0
74,15,04,41,250,-35.7, 42.9, 154.2,0.0, 229.5, 0.0,350.7, 229.5, 0.0
75,15,04,41,767,-37.5, 43.4, 152.5,0.0, 173.4, 0.0,5.1, 173.4, 0.0
76,15,04,42,297,-39.0, 44.0, 150.4,0.0, 163.2, 0.0,7.1, 163.2, 0.0
77,15,04,42,836,-40.9, 44.5, 148.7,0.0, 156.3, 0.0,7.0, 156.3, 0.0
78,15,04,43,349,-41.8, 44.9, 146.3,0.0, 156.3, 0.0,7.0, 156.3, 0.0
79,15,04,43,881,-42.9, 45.5, 144.1,0.0, 153.8, 0.0,7.3, 153.8, 0.0
80,15,04,44,382,-44.7, 45.9, 142.7,0.0, 214.9, 0.0,348.8, 214.9, 0.0
81,15,04,44,898,-47.1, 46.1, 141.7,0.0, 248.2, 0.0,346.0, 248.2, 0.0
82,15,04,45,399,-49.4, 46.5, 140.9,0.0, 245.8, 0.0,346.9, 245.8, 0.0
83,15,04,45,940,-51.3, 46.9, 139.0,0.0, 156.2, 0.0,3.0, 156.2, 0.0
84,15,04,46,476,-53.4, 47.2, 137.5,0.0, 179.1, 0.0,358.0, 179.1, 0.0
85,15,04,46,982,-55.9, 47.3, 137.3,0.0, 239.1, 0.0,349.9, 239.1, 0.0
86,15,04,47,499,-58.2, 47.6, 136.3,0.0, 250.7, 0.0,348.5, 250.7, 0.0
87,15,04,47,999,-60.6, 47.9, 135.6,0.0, 253.7, 0.0,348.4, 253.7, 0.0
88,15,04,48,500,-63.0, 48.2, 134.9,0.0, 253.7, 0.0,348.4, 253.7, 0.0
89,15,04,49,1,-65.2, 48.6, 133.8,0.0, 239.9, 0.0,353.6, 239.9, 0.0
90,15,04,49,516,-67.5, 48.8, 132.5,0.0, 240.6, 0.0,352.1, 240.6, 0.0
91,15,04,50,32,-69.7, 48.9, 131.3,0.0, 240.8, 0.0,351.6, 240.8, 0.0
92,15,04,50,533,-72.2, 49.2, 131.1,0.0, 228.2, 0.0,352.7, 228.2, 0.0
93,15,04,51,35,-74.5, 49.2, 130.4,0.0, 222.2, 0.0,353.7, 222.2, 0.0
94,15,04,51,550,-76.7, 49.3, 129.2,0.0, 220.2, 0.0,353.7, 220.2, 0.0
95,15,04,52,66,-79.1, 49.6, 128.3,0.0, 204.0, 0.0,353.7, 204.0, 0.0
96,15,04,52,567,-81.4, 49.9, 127.3,0.0, 203.9, 0.0,353.7, 203.9, 0.0
97,15,04,53,82,-83.2, 50.0, 125.6,0.0, 222.5, 0.0,353.0, 222.5, 0.0
98,15,04,53,585,-84.9, 50.2, 123.9,0.0, 203.4, 0.0,355.2, 203.4, 0.0
99,15,04,54,99,-86.5, 50.4, 121.9,0.0, 186.6, 0.0,357.8, 186.6, 0.0
100,15,04,54,619,-88.2, 50.4, 120.0,0.0, 169.5, 0.0,0.8, 169.5, 0.0
101,15,04,55,173,-89.3, 50.2, 117.4,0.0, 145.5, 0.0,357.1, 145.5, 0.0
102,15,04,55,684,-89.7, 50.2, 115.0,0.0, 143.6, 0.0,355.3, 143.6, 0.0
103,15,04,56,216,-89.3, 50.0, 112.4,0.0, 103.2, 0.0,356.3, 103.2, 0.0
104,15,04,56,716,-87.8, 49.9, 110.4,0.0, 76.1, 0.0,355.7, 76.1, 0.0
105,15,04,57,218,-86.5, 49.5, 108.4,0.0, 52.5, 0.0,356.0, 52.5, 0.0
106,15,04,57,730,-85.3, 49.5, 109.6,0.0, 179.5, 0.0,358.8, 179.5, 0.0
107,15,04,58,235,-85.7, 49.4, 107.5,0.0, 205.0, 0.0,359.1, 205.0, 0.0
108,15,04,58,736,-87.9, 49.5, 107.7,0.0, 217.7, 0.0,7.9, 217.7, 0.0
109,15,04,59,251,-90.0, 49.7, 107.6,0.0, 256.6, 0.0,358.1, 256.6, 0.0
110,15,04,59,752,-92.5, 50.0, 107.7,0.0, 266.6, 0.0,352.1, 266.6, 0.0
111,15,05,00,268,-94.6, 50.2, 106.3,0.0, 213.3, 0.0,359.1, 213.3, 0.0
112,15,05,00,791,-96.6, 50.3, 104.8,0.0, 161.4, 0.0,5.9, 161.4, 0.0
113,15,05,01,352,-98.3, 49.9, 102.7,0.0, 115.5, 0.0,3.1, 115.5, 0.0
114,15,05,01,861,-98.8, 49.5, 100.3,0.0, 100.5, 0.0,2.5, 100.5, 0.0
115,15,05,02,387,-99.0, 49.1, 97.8,0.0, 164.5, 0.0,1.3, 164.5, 0.0
116,15,05,02,902,-99.8, 49.0, 95.4,0.0, 201.0, 0.0,359.4, 201.0, 0.0
117,15,05,03,418,-101.6, 48.9, 93.7,0.0, 260.7, 0.0,347.2, 260.7, 0.0
118,15,05,03,919,-103.8, 49.1, 92.7,0.0, 240.8, 0.0,337.7, 240.8, 0.0
119,15,05,04,459,-104.3, 49.0, 90.2,0.0, 166.2, 0.0,11.3, 166.2, 0.0
120,15,05,04,981,-103.9, 48.7, 88.4,0.0, 166.1, 0.0,11.0, 166.1, 0.0
121,15,05,05,507,-103.3, 48.3, 87.3,0.0, 123.2, 0.0,12.9, 123.2, 0.0
122,15,05,06,40,-101.1, 48.0, 86.1,0.0, 97.6, 0.0,13.1, 97.6, 0.0
123,15,05,06,582,-98.7, 48.1, 87.2,0.0, 91.7, 0.0,10.7, 91.7, 0.0
124,15,05,07,115,-96.5, 46.9, 87.1,0.0, 134.8, 0.0,7.4, 134.8, 0.0
125,15,05,07,622,-95.3, 45.9, 85.2,0.0, 169.6, 0.0,5.6, 169.6, 0.0
126,15,05,08,124,-94.9, 45.0, 83.0,0.0, 183.4, 0.0,8.7, 183.4, 0.0
127,15,05,08,641,-93.4, 44.0, 81.0,0.0, 187.1, 0.0,6.9, 187.1, 0.0
128,15,05,09,157,-93.7, 43.1, 78.6,0.0, 170.8, 0.0,12.5, 170.8, 0.0
129,15,05,09,669,-93.1, 42.1, 76.3,0.0, 166.1, 0.0,13.2, 166.1, 0.0
130,15,05,10,203,-93.8, 41.3, 74.0,0.0, 157.5, 0.0,12.5, 157.5, 0.0
131,15,05,10,725,-94.2, 40.4, 71.6,0.0, 95.6, 0.0,11.2, 95.6, 0.0
132,15,05,11,245,-94.8, 39.5, 69.3,0.0, 92.9, 0.0,10.4, 92.9, 0.0
